epoch,step,train_loss,val_loss
0,49,0.3097344636917114,
0,99,0.19047537446022034,
0,149,0.2521490454673767,
0,199,0.24233806133270264,
0,249,0.2961741089820862,
0,299,0.3331978917121887,
0,349,0.21625827252864838,
0,351,,0.240630105137825
1,399,0.2075374573469162,
1,449,0.28492647409439087,
1,499,0.24283552169799805,
1,549,0.24252977967262268,
1,599,0.2136419713497162,
1,649,0.2006227672100067,
1,699,0.2145308256149292,
1,703,,0.20133693516254425
2,749,0.18735769391059875,
2,799,0.1695689857006073,
2,849,0.1865697205066681,
2,899,0.1804109513759613,
2,949,0.2451980859041214,
2,999,0.21629399061203003,
2,1049,0.1421307474374771,
2,1055,,0.18451525270938873
3,1099,0.12904584407806396,
3,1149,0.19444751739501953,
3,1199,0.1803078055381775,
3,1249,0.19996309280395508,
3,1299,0.20047582685947418,
3,1349,0.16549858450889587,
3,1399,0.16758684813976288,
3,1407,,0.15514139831066132
4,1449,0.1827303171157837,
4,1499,0.11229367554187775,
4,1549,0.1477138251066208,
4,1599,0.1389158070087433,
4,1649,0.11268593370914459,
4,1699,0.16265812516212463,
4,1749,0.15009436011314392,
4,1759,,0.13657137751579285
5,1799,0.11610523611307144,
5,1849,0.14244279265403748,
5,1899,0.14901864528656006,
5,1949,0.09909775853157043,
5,1999,0.15826180577278137,
5,2049,0.10800954699516296,
5,2099,0.1300242841243744,
5,2111,,0.13297826051712036
6,2149,0.12170880287885666,
6,2199,0.11417698115110397,
6,2249,0.16983020305633545,
6,2299,0.0914684385061264,
6,2349,0.16631442308425903,
6,2399,0.11147944629192352,
6,2449,0.125841423869133,
6,2463,,0.12787285447120667
7,2499,0.10532945394515991,
7,2549,0.14613986015319824,
7,2599,0.08473318070173264,
7,2649,0.1217188760638237,
7,2699,0.12861065566539764,
7,2749,0.07427611947059631,
7,2799,0.076812744140625,
7,2815,,0.10896777361631393
8,2849,0.06813286989927292,
8,2899,0.13849735260009766,
8,2949,0.09852126985788345,
8,2999,0.0761820375919342,
8,3049,0.07546480000019073,
8,3099,0.08534549176692963,
8,3149,0.14102360606193542,
8,3167,,0.10430555790662766
9,3199,0.07983782887458801,
9,3249,0.10759198665618896,
9,3299,0.11715643107891083,
9,3349,0.11579866707324982,
9,3399,0.1053139865398407,
9,3449,0.07374893128871918,
9,3499,0.0703715980052948,
9,3519,,0.09844199568033218
10,3549,0.13081002235412598,
10,3599,0.10706308484077454,
10,3649,0.11704978346824646,
10,3699,0.09650766849517822,
10,3749,0.12786918878555298,
10,3799,0.08901037275791168,
10,3849,0.12834706902503967,
10,3871,,0.10165921598672867
11,3899,0.09189207851886749,
11,3949,0.08881363272666931,
11,3999,0.0752159133553505,
11,4049,0.06534355878829956,
11,4099,0.1011771410703659,
11,4149,0.09834925830364227,
11,4199,0.06426750123500824,
11,4223,,0.09176287055015564
12,4249,0.07350333034992218,
12,4299,0.09826070815324783,
12,4349,0.14322856068611145,
12,4399,0.08464571833610535,
12,4449,0.09544208645820618,
12,4499,0.07813885807991028,
12,4549,0.09472130984067917,
12,4575,,0.09072832018136978
13,4599,0.11297747492790222,
13,4649,0.08169931173324585,
13,4699,0.07856948673725128,
13,4749,0.1160091757774353,
13,4799,0.08432792127132416,
13,4849,0.0951874777674675,
13,4899,0.060846175998449326,
13,4927,,0.0959073156118393
14,4949,0.06969428807497025,
14,4999,0.10316280275583267,
14,5049,0.0755777508020401,
14,5099,0.15379846096038818,
14,5149,0.061879388988018036,
14,5199,0.11183315515518188,
14,5249,0.05371031165122986,
14,5279,,0.09390571713447571
15,5299,0.10508996248245239,
15,5349,0.05322222411632538,
15,5399,0.05176796764135361,
15,5449,0.09505461156368256,
15,5499,0.07488500326871872,
15,5549,0.07745681703090668,
15,5599,0.15307974815368652,
15,5631,,0.08884752541780472
16,5649,0.09113520383834839,
16,5699,0.10211855173110962,
16,5749,0.06390256434679031,
16,5799,0.04768902808427811,
16,5849,0.036146681755781174,
16,5899,0.10113518685102463,
16,5949,0.04487620294094086,
16,5983,,0.09890919923782349
17,5999,0.05962025374174118,
17,6049,0.0753088891506195,
17,6099,0.13623027503490448,
17,6149,0.061122529208660126,
17,6199,0.07719801366329193,
17,6249,0.07314683496952057,
17,6299,0.07345631718635559,
17,6335,,0.08714324980974197
18,6349,0.039281923323869705,
18,6399,0.0652737244963646,
18,6449,0.09883157908916473,
18,6499,0.11938934773206711,
18,6549,0.07058057188987732,
18,6599,0.05478750914335251,
18,6649,0.08944076299667358,
18,6687,,0.09958220273256302
19,6699,0.08913518488407135,
19,6749,0.09039458632469177,
19,6799,0.05285901576280594,
19,6849,0.1120319664478302,
19,6899,0.06961359083652496,
19,6949,0.06903325021266937,
19,6999,0.07853911817073822,
19,7039,,0.07654900848865509
